Time,POE,Lane,Open,Stacked,Volume,Capacity,Unmet,Wait Time,NB POV Toll,NB Trk Toll,SB POV Toll,SB Trk Toll
13,"SY","POV_SE",8.000000,0.000000,1255.243640,928.000000,327.243640,10.578997,0.000000,0.000000,0.000000,0.000000
13,"SY","POV_SB",5.000000,0.000000,1344.365688,3840.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,"OM","POV_GP",3.000000,0.000000,664.030880,180.000000,484.030880,80.671813,0.000000,0.000000,0.000000,0.000000
13,"OM","POV_RE",9.000000,0.000000,1566.749362,711.000000,855.749362,36.107568,0.000000,0.000000,0.000000,0.000000
13,"OM","POV_SE",1.000000,0.000000,168.819546,125.000000,43.819546,10.516691,0.000000,0.000000,0.000000,0.000000
13,"OM","POV_SB",2.000000,0.000000,945.774894,1536.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,"OM","COM_GP",7.000000,0.000000,320.145215,161.000000,159.145215,29.654388,0.000000,0.000000,0.000000,0.000000
13,"OM","COM_SP",3.000000,0.000000,104.969949,69.000000,35.969949,15.639108,0.000000,0.000000,0.000000,0.000000
13,"OM","COM_SB",4.000000,0.000000,418.736753,356.000000,62.736753,5.286805,0.000000,0.000000,0.000000,0.000000
14,"SY","POV_GP",6.000000,6.000000,1796.429064,468.000000,1328.429064,85.155709,0.000000,0.000000,0.000000,0.000000
14,"SY","POV_RE",6.000000,6.000000,1400.614292,522.000000,878.614292,50.495074,0.000000,0.000000,0.000000,0.000000
14,"SY","POV_SE",8.000000,0.000000,1190.415752,928.000000,262.415752,8.483268,0.000000,0.000000,0.000000,0.000000
14,"SY","POV_SB",5.000000,0.000000,1542.639068,3840.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,"OM","POV_GP",3.000000,0.000000,666.746352,180.000000,486.746352,81.124392,0.000000,0.000000,0.000000,0.000000
14,"OM","POV_RE",8.000000,0.000000,1521.202338,632.000000,889.202338,42.208972,0.000000,0.000000,0.000000,0.000000
14,"OM","POV_SE",2.000000,0.000000,302.080956,250.000000,52.080956,6.249715,0.000000,0.000000,0.000000,0.000000
14,"OM","POV_SB",2.000000,0.000000,1330.633221,1536.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,"OM","COM_GP",7.000000,0.000000,340.568942,161.000000,179.568942,33.460051,0.000000,0.000000,0.000000,0.000000
14,"OM","COM_SP",3.000000,0.000000,99.584550,69.000000,30.584550,13.297630,0.000000,0.000000,0.000000,0.000000
14,"OM","COM_SB",4.000000,0.000000,426.030921,356.000000,70.030921,5.901482,0.000000,0.000000,0.000000,0.000000
15,"SY","POV_GP",7.000000,7.000000,1844.896472,546.000000,1298.896472,71.367938,0.000000,0.000000,0.000000,0.000000
15,"SY","POV_RE",7.000000,7.000000,1503.543231,609.000000,894.543231,44.066169,0.000000,0.000000,0.000000,0.000000
15,"SY","POV_SE",7.000000,0.000000,1051.808891,812.000000,239.808891,8.859934,0.000000,0.000000,0.000000,0.000000
15,"SY","POV_SB",5.000000,0.000000,1910.480549,3840.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,"OM","POV_GP",3.000000,0.000000,594.535413,180.000000,414.535413,69.089235,0.000000,0.000000,0.000000,0.000000
15,"OM","POV_RE",8.000000,0.000000,1447.282595,632.000000,815.282595,38.700123,0.000000,0.000000,0.000000,0.000000
15,"OM","POV_SE",2.000000,0.000000,325.799094,250.000000,75.799094,9.095891,0.000000,0.000000,0.000000,0.000000
15,"OM","POV_SB",2.000000,0.000000,2010.511162,1536.000000,474.511162,9.267796,0.000000,0.000000,0.000000,0.000000
15,"OM","COM_GP",6.000000,0.000000,397.529403,138.000000,259.529403,56.419435,0.000000,0.000000,0.000000,0.000000
15,"OM","COM_SP",4.000000,0.000000,184.225150,92.000000,92.225150,30.073419,0.000000,0.000000,0.000000,0.000000
15,"OM","COM_SB",4.000000,0.000000,404.388605,356.000000,48.388605,4.077691,0.000000,0.000000,0.000000,0.000000
16,"SY","POV_GP",7.000000,7.000000,1752.172993,546.000000,1206.172993,66.273241,0.000000,0.000000,0.000000,0.000000
16,"SY","POV_RE",8.000000,8.000000,1574.585620,696.000000,878.585620,37.870070,0.000000,0.000000,0.000000,0.000000
16,"SY","POV_SE",6.000000,0.000000,945.491831,696.000000,249.491831,10.753958,0.000000,0.000000,0.000000,0.000000
16,"SY","POV_SB",5.000000,0.000000,2767.096038,3840.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,"OM","POV_GP",3.000000,0.000000,558.290189,180.000000,378.290189,63.048365,0.000000,0.000000,0.000000,0.000000
16,"OM","POV_RE",8.000000,0.000000,1322.046756,632.000000,690.046756,32.755384,0.000000,0.000000,0.000000,0.000000
16,"OM","POV_SE",2.000000,0.000000,321.545658,250.000000,71.545658,8.585479,0.000000,0.000000,0.000000,0.000000
16,"OM","POV_SB",2.000000,0.000000,3320.723480,1536.000000,1784.723480,34.857880,0.000000,0.000000,0.000000,0.000000
16,"OM","COM_GP",6.000000,0.000000,466.150877,138.000000,328.150877,71.337147,0.000000,0.000000,0.000000,0.000000
16,"OM","COM_SP",4.000000,0.000000,227.949066,92.000000,135.949066,44.331217,0.000000,0.000000,0.000000,0.000000
16,"OM","COM_SB",4.000000,0.000000,372.723275,356.000000,16.723275,1.409265,0.000000,0.000000,0.000000,0.000000
17,"SY","POV_GP",7.000000,7.000000,1669.562957,546.000000,1123.562957,61.734228,0.000000,0.000000,0.000000,0.000000
